number,time,1num,2num,3num,4num,5num,6num,7num,8num,9num,10num,11num,12num,13num,14num,15num,16num,17num,18num,19num,20num
891597,17:55,54,46,47,23,3,26,32,7,74,51,11,30,21,76,35,4,65,64,24,17
891596,17:50,28,32,44,6,24,49,72,80,57,29,31,61,16,47,22,46,33,14,42,71
891595,17:45,2,35,22,64,46,65,67,31,39,51,62,9,56,47,16,80,17,19,45,68
891594,17:40,13,54,60,1,63,14,20,66,75,30,2,46,35,80,50,44,61,72,78,11
891593,17:35,74,65,38,56,4,48,37,22,39,29,36,51,52,23,12,67,43,80,42,49
891592,17:30,37,48,2,33,43,79,25,30,80,66,24,11,62,60,20,14,35,4,34,13
891591,17:25,40,25,28,53,30,69,44,29,79,4,42,32,3,35,65,10,68,61,50,74
891590,17:20,29,39,75,49,24,69,46,45,51,3,35,77,59,63,18,26,55,28,19,53
891589,17:15,61,34,49,1,17,8,67,51,2,21,72,71,4,44,57,76,68,77,38,47
891588,17:10,51,22,48,31,33,49,66,70,43,18,24,16,41,40,76,61,67,27,79,2
891587,17:05,66,41,65,9,11,1,22,34,48,73,20,15,21,28,58,13,49,33,36,54
891586,17:00,55,32,37,5,41,73,52,53,34,11,44,63,46,48,47,26,54,78,51,31
891585,16:55,74,29,79,50,17,9,10,14,55,1,57,80,76,22,47,59,7,73,35,78
891584,16:50,7,65,39,57,25,68,74,60,53,66,21,19,26,45,62,9,16,13,20,44
891583,16:45,33,79,48,61,52,12,42,9,25,10,37,41,60,31,15,70,43,59,49,62
891582,16:40,4,32,22,9,74,6,31,7,54,59,44,57,21,63,62,1,51,3,67,35
891581,16:35,70,57,13,3,10,21,2,54,46,42,23,55,32,17,69,12,20,24,66,67
891580,16:30,18,23,30,72,26,58,68,32,61,3,5,19,14,10,62,67,33,79,27,66
891579,16:25,36,8,31,60,76,19,13,69,77,67,34,26,58,63,45,49,28,23,42,65
891578,16:20,36,58,11,37,69,15,77,8,54,68,50,27,57,4,60,51,45,25,34,1
891577,16:15,33,31,8,77,17,4,56,16,63,2,70,62,1,76,11,40,38,39,51,55
891576,16:10,26,24,52,35,7,23,48,62,56,8,14,32,34,71,73,21,9,55,78,53
891575,16:05,16,29,33,23,51,67,52,42,15,32,24,78,74,77,57,12,26,63,75,40
891574,16:00,77,27,38,60,61,25,43,42,75,23,47,79,11,52,80,71,59,76,73,70
891573,15:55,43,61,71,77,79,34,62,70,75,24,25,20,35,76,8,53,48,22,37,41
891572,15:50,64,72,52,1,50,53,19,57,33,43,25,32,26,6,7,14,22,77,71,61
891571,15:45,17,31,48,26,63,32,64,62,43,29,77,47,71,10,80,59,13,2,67,57
891570,15:40,47,4,14,56,60,78,48,23,3,66,72,63,80,36,59,52,5,44,25,18
891569,15:35,12,13,73,62,4,14,30,53,36,20,54,51,1,50,59,2,15,65,56,9
891568,15:30,52,3,42,64,63,72,68,2,65,45,54,19,13,60,47,62,35,15,66,4
891567,15:25,60,6,38,73,15,25,45,66,17,34,62,21,53,68,12,19,8,33,1,69
891566,15:20,27,72,9,76,60,48,5,66,54,12,11,34,31,51,14,16,52,61,56,42
891565,15:15,16,55,27,34,9,72,79,53,41,39,36,63,4,18,75,1,80,30,21,77
891564,15:10,13,37,27,6,34,21,76,42,41,62,20,75,18,74,33,25,70,23,35,54
891563,15:05,14,3,45,76,36,40,62,15,74,6,10,17,48,37,2,5,52,33,77,21
891562,15:00,10,48,13,31,35,51,9,20,40,15,30,39,36,14,21,32,29,5,45,4
891561,14:55,74,2,48,12,59,11,42,64,61,21,9,3,32,76,35,54,77,75,47,16
891560,14:50,36,17,22,79,6,59,76,29,80,16,62,50,8,20,40,23,12,75,25,48
891559,14:45,51,71,41,14,47,45,6,53,79,19,24,16,2,75,70,66,56,42,72,33
891558,14:40,36,42,11,57,30,6,75,79,29,15,22,31,70,52,55,10,64,46,59,27
891557,14:35,8,47,16,44,28,12,62,53,63,51,73,25,66,67,14,40,55,5,37,19
891556,14:30,52,64,16,25,19,48,26,11,72,41,1,23,13,63,44,24,45,71,27,17
891555,14:25,4,50,26,38,54,64,67,12,53,71,65,21,16,10,11,5,48,47,69,19
891554,14:20,36,18,55,80,30,12,38,65,64,51,35,37,46,3,9,43,25,74,32,68
891553,14:15,64,70,79,38,53,65,24,56,37,21,80,51,74,75,69,7,72,67,45,32
891552,14:10,71,52,25,57,1,78,10,5,21,24,53,44,67,69,76,31,55,42,40,46
891551,14:05,23,19,16,73,42,28,61,21,60,76,34,5,24,58,11,13,78,74,33,50
891550,14:00,9,22,40,21,31,4,39,44,24,68,70,53,50,69,46,23,8,62,12,41
891549,13:55,71,4,18,79,44,14,24,23,56,65,55,57,45,76,7,54,67,26,61,49
891548,13:50,27,80,10,63,36,39,68,69,46,74,19,5,7,1,3,6,21,52,53,75
891547,13:45,16,69,14,65,20,63,10,55,53,5,33,66,72,32,13,56,52,54,49,58
891546,13:40,4,53,55,31,47,66,52,42,51,32,13,76,58,21,73,19,74,38,5,3
891545,13:35,70,6,24,35,29,39,48,59,50,58,64,34,5,54,43,4,38,57,78,71
891544,13:30,30,66,4,8,80,7,79,46,11,34,13,12,18,67,78,54,24,10,61,52
891543,13:25,2,40,77,29,17,26,38,64,47,8,7,48,9,41,55,71,44,5,32,62
891542,13:20,15,77,11,73,31,66,23,46,7,35,39,65,22,75,34,12,24,55,19,51
891541,13:15,22,43,39,69,76,37,29,40,68,2,51,18,6,42,70,48,80,65,73,27
891540,13:10,8,80,11,76,59,30,55,77,13,21,69,36,10,44,73,57,33,12,74,19
891539,13:05,74,44,64,41,54,63,1,73,69,68,80,32,19,38,51,60,56,48,79,39
891538,13:00,32,12,44,46,43,33,22,72,73,27,21,65,16,56,18,55,61,37,28,50
891537,12:55,43,9,44,77,67,8,40,7,29,76,2,65,24,36,62,33,61,39,71,54
891536,12:50,4,16,52,40,56,5,59,39,27,77,34,76,35,48,67,9,2,25,22,61
891535,12:45,68,48,7,27,46,20,43,78,6,41,52,76,33,32,31,44,51,25,77,79
891534,12:40,65,32,70,47,12,14,74,20,36,5,72,19,63,8,50,57,51,35,3,26
891533,12:35,72,12,3,43,55,35,1,18,80,66,76,57,41,38,16,73,63,30,8,50
891532,12:30,6,20,61,46,16,75,3,27,69,9,26,58,65,11,7,80,50,4,35,49
891531,12:25,9,71,43,31,46,74,61,30,65,52,40,54,76,72,51,77,19,47,1,42
891530,12:20,54,13,52,24,65,32,15,18,41,74,64,76,19,35,47,20,31,79,71,44
891529,12:15,49,46,8,7,33,25,14,44,38,67,31,60,22,65,74,20,80,18,71,61
891528,12:10,24,66,70,22,43,72,8,73,11,53,32,50,44,30,48,5,47,37,38,21
891527,12:05,60,55,61,70,22,12,42,50,38,46,64,62,56,28,3,43,34,23,18,33
891526,12:00,9,47,55,61,75,16,62,63,25,29,76,28,78,18,24,26,66,65,5,33
891525,11:55,42,6,19,24,72,18,2,29,27,60,56,4,22,11,80,57,41,35,39,16
891524,11:50,72,47,17,16,32,4,3,49,15,76,11,5,1,6,45,65,55,19,13,54
891523,11:45,79,16,59,35,40,26,63,45,36,28,25,44,39,62,8,27,66,37,13,32
891522,11:40,64,21,77,32,2,22,12,20,78,51,41,61,9,8,50,52,70,56,69,46
891521,11:35,6,74,1,44,32,9,18,34,11,14,46,7,41,36,4,40,12,3,23,55
891520,11:30,47,24,50,51,55,14,43,58,22,21,31,68,61,60,35,66,59,64,71,75
891519,11:25,10,65,44,12,3,63,36,62,76,25,49,14,53,30,13,15,75,1,18,57
891518,11:20,45,79,19,63,7,14,5,33,8,31,69,76,48,54,66,56,1,47,2,78
891517,11:15,23,44,69,36,14,9,63,32,72,74,18,53,16,67,17,41,30,29,22,27
891516,11:10,75,8,69,14,50,59,17,16,11,77,30,57,29,48,71,18,60,76,79,53
891515,11:05,25,67,54,39,32,14,64,63,4,40,66,26,13,80,34,8,1,50,70,36
891514,11:00,30,10,20,9,46,18,59,2,28,52,60,21,22,55,48,77,58,42,68,50
891513,10:55,56,68,47,29,18,15,74,16,14,42,41,49,24,60,48,33,73,30,17,4
891512,10:50,52,51,36,17,27,65,34,77,55,69,12,8,7,11,35,30,25,42,23,44
891511,10:45,12,8,69,42,34,23,11,77,3,75,43,48,70,76,62,53,47,63,37,24
891510,10:40,16,55,29,58,53,48,23,15,71,12,18,76,34,10,63,39,68,27,44,20
891509,10:35,58,49,47,77,65,26,22,79,50,5,28,74,73,21,17,2,12,61,7,43
891508,10:30,67,47,56,18,80,42,68,29,22,12,19,33,72,34,23,75,62,57,2,55
891507,10:25,24,61,73,74,37,39,7,63,64,8,23,15,66,70,47,48,72,36,69,55
891506,10:20,5,13,12,46,16,54,23,67,53,34,11,65,41,59,31,6,50,8,7,62
891505,10:15,47,27,48,68,51,1,79,61,30,53,69,64,19,72,78,32,65,8,76,34
891504,10:10,64,12,51,3,67,72,68,47,43,22,75,69,50,13,4,17,55,48,60,73
891503,10:05,39,41,34,73,46,63,77,65,2,38,48,28,4,76,60,31,25,10,20,59
891502,10:00,49,44,59,51,31,35,79,20,50,14,42,40,41,13,71,58,32,21,1,75
891501,09:55,29,72,47,57,56,37,16,32,8,66,4,78,34,14,25,1,63,28,30,12
891500,09:50,62,44,51,64,71,15,70,74,47,77,79,31,10,8,78,3,67,38,80,18
891499,09:45,3,52,13,43,14,76,16,48,35,40,25,54,23,22,56,32,10,53,27,49
891498,09:40,41,68,7,62,52,22,9,72,77,8,4,66,26,65,1,76,17,34,31,10
891497,09:35,13,32,14,23,7,20,56,43,51,67,11,15,24,22,49,47,53,70,50,79
891496,09:30,65,26,20,33,21,45,50,67,44,8,31,29,60,59,69,14,5,19,55,30
891495,09:25,43,53,19,70,13,42,30,54,10,11,72,15,28,22,26,34,73,45,7,23
891494,09:20,17,25,50,41,57,71,64,56,45,3,19,43,74,77,7,75,11,79,14,62
891493,09:15,21,9,57,19,67,64,7,46,23,4,54,42,25,11,76,1,18,50,51,37
891492,09:10,36,76,3,42,46,54,29,66,18,55,75,50,2,20,60,73,8,67,45,71
891491,09:05,30,60,46,35,49,63,72,51,9,13,44,43,57,11,33,7,48,12,15,29
891490,09:00,42,1,57,23,22,48,21,52,19,74,68,59,35,37,11,13,45,6,67,39
891489,08:55,11,37,64,2,1,30,78,48,4,47,75,66,8,61,79,7,49,52,6,25
891488,08:50,65,9,72,36,59,64,13,10,74,18,24,12,41,5,21,62,48,8,3,67
891487,08:45,45,79,14,64,15,59,10,52,17,37,76,62,34,50,5,27,68,43,53,1
891486,08:40,14,50,48,34,22,21,39,49,13,28,59,11,33,2,67,38,20,64,60,29
891485,08:35,14,46,42,38,77,70,50,76,23,45,69,58,60,71,35,52,20,27,51,44
891484,08:30,13,10,67,73,22,58,14,35,9,66,62,23,34,59,39,19,24,45,43,15
891483,08:25,70,3,20,1,43,75,68,37,47,72,48,2,39,76,30,44,45,65,14,13
891482,08:20,8,60,18,79,17,47,54,31,62,11,37,68,58,59,14,30,28,42,22,52
891481,08:15,63,60,62,25,3,71,77,34,18,73,40,29,23,51,50,21,11,80,64,56
891480,08:10,52,80,54,32,39,7,4,57,8,46,49,36,26,60,9,74,23,1,51,48
891479,08:05,48,26,18,50,56,12,4,9,8,78,2,42,73,45,59,70,37,28,16,38
891478,08:00,71,2,14,9,24,69,39,72,62,10,30,18,11,7,67,80,56,1,47,70
891477,23:55,35,9,33,30,74,40,53,49,57,10,56,76,18,20,23,64,45,3,34,46
891476,23:50,50,42,68,75,45,16,46,26,77,3,59,55,79,12,69,43,28,38,21,64
891475,23:45,1,56,21,26,30,48,63,29,11,39,57,12,61,79,70,74,33,62,69,44
891474,23:40,43,59,79,40,28,44,7,52,23,73,25,46,13,70,56,29,60,2,22,11
891473,23:35,13,70,15,46,69,31,74,16,23,65,75,44,25,45,56,3,39,55,30,68
891472,23:30,15,45,32,24,79,67,73,72,61,51,40,17,36,1,20,35,47,75,29,23
891471,23:25,15,80,37,65,14,5,59,61,38,71,4,54,6,10,24,33,22,46,26,47
891470,23:20,29,41,7,73,58,76,5,16,12,54,42,75,23,48,80,66,24,78,67,33
891469,23:15,9,26,42,40,45,67,30,63,80,58,75,1,50,55,61,56,44,7,77,12
891468,23:10,13,59,67,39,73,41,45,78,66,79,54,4,34,44,27,14,31,9,1,18
891467,23:05,27,20,46,65,73,12,50,63,22,18,62,29,59,4,35,5,47,38,8,78
891466,23:00,65,75,16,69,46,12,27,35,60,24,6,55,48,42,58,4,76,17,31,39
891465,22:55,8,25,77,19,51,71,67,14,37,29,62,72,42,5,61,79,11,21,16,60
891464,22:50,26,50,67,79,41,25,3,74,43,70,22,20,75,78,7,28,46,59,27,5
891463,22:45,74,19,3,28,66,39,30,1,18,79,34,69,47,73,24,44,38,51,72,58
891462,22:40,34,13,66,47,3,12,30,23,21,58,14,27,72,74,79,43,67,16,64,41
891461,22:35,37,40,28,8,68,26,69,14,60,42,36,18,57,1,73,58,17,34,16,45
891460,22:30,1,11,53,42,77,62,46,44,49,68,67,19,20,76,73,25,36,52,8,26
891459,22:25,51,63,4,25,39,12,74,49,78,77,17,45,7,20,26,30,21,48,28,31
891458,22:20,29,21,36,19,44,18,2,56,73,16,46,28,26,25,43,6,66,58,64,9
891457,22:15,77,59,34,67,78,38,53,16,13,42,76,31,51,48,66,8,61,1,44,71
891456,22:10,2,10,67,34,1,38,36,60,57,21,47,31,15,53,74,6,80,71,56,40
891455,22:05,62,57,27,60,71,43,6,76,51,72,47,3,30,7,67,80,14,49,66,75
891454,22:00,55,73,44,51,60,10,80,18,65,74,69,32,6,66,64,30,58,1,70,61
891453,21:55,67,76,14,24,36,80,70,46,48,45,7,19,6,27,49,15,56,71,69,9
891452,21:50,26,68,42,63,36,48,27,59,60,23,46,71,16,78,40,19,20,32,7,72
891451,21:45,58,5,75,25,64,23,41,61,29,6,10,47,53,17,20,78,55,49,16,33
891450,21:40,77,6,65,78,28,49,19,15,44,27,63,32,1,9,17,26,38,59,48,29
891449,21:35,36,49,35,17,70,8,52,27,6,44,24,56,18,58,78,21,23,1,31,73
891448,21:30,50,5,15,43,33,79,37,60,23,28,45,9,19,11,22,52,16,1,21,40
891447,21:25,38,66,45,22,26,69,77,71,52,17,5,72,30,51,35,21,48,18,25,57
891446,21:20,77,79,64,57,80,16,47,7,3,11,4,9,54,39,49,34,6,55,66,17
891445,21:15,43,33,2,19,5,69,51,29,18,28,53,25,1,60,38,61,9,27,66,72
891444,21:10,41,64,22,20,34,29,7,4,42,59,74,12,58,27,72,35,73,30,23,3
891443,21:05,52,37,70,76,77,79,63,14,7,17,67,49,73,53,9,1,23,27,21,71
891442,21:00,17,69,61,22,4,45,53,72,63,2,42,76,15,77,10,31,75,65,7,36
891441,20:55,37,72,47,9,77,10,56,43,80,31,39,38,66,42,24,22,62,69,33,16
891440,20:50,76,4,31,78,63,44,74,65,36,28,67,71,57,73,29,77,26,75,16,79
891439,20:45,11,76,9,47,29,79,31,69,52,78,58,42,40,56,8,39,16,51,62,70
891438,20:40,72,46,42,57,79,9,49,48,54,47,71,73,1,32,70,36,61,40,27,67
891437,20:35,51,27,32,59,76,56,2,65,4,24,20,77,21,53,12,37,72,10,13,73
891436,20:30,20,31,9,12,64,30,47,68,52,43,75,24,44,17,62,5,34,69,66,59
891435,20:25,24,17,80,77,6,25,44,38,76,13,31,70,33,10,67,30,79,51,1,4
891434,20:20,52,56,22,55,29,49,38,10,27,41,9,12,48,76,26,20,35,74,66,72
891433,20:15,74,4,77,60,64,48,28,72,27,22,26,24,46,12,63,79,21,62,61,25
891432,20:10,47,26,37,4,79,43,1,13,62,41,55,28,64,14,2,66,12,25,27,35
891431,20:05,14,68,28,78,15,43,12,66,5,60,64,69,75,34,40,42,25,11,74,9
891430,20:00,34,10,16,71,11,1,12,38,55,63,9,37,17,79,77,58,3,33,39,25
891429,19:55,18,69,73,56,51,1,48,2,17,5,72,78,15,16,45,80,27,38,11,62
891428,19:50,44,74,39,13,51,66,1,54,48,47,52,35,22,2,49,32,12,65,42,73
891427,19:45,26,54,79,60,48,51,71,80,2,31,29,28,19,73,61,43,4,41,15,17
891426,19:40,3,51,24,14,7,57,44,13,67,22,30,48,45,39,47,50,55,29,33,56
891425,19:35,61,76,77,49,43,19,7,73,9,11,68,15,6,44,69,1,63,37,30,2
891424,19:30,30,74,43,77,4,33,69,26,61,39,31,71,15,8,50,80,42,38,3,67
891423,19:25,60,57,33,9,25,13,61,55,12,6,36,37,71,65,47,73,53,44,39,67
891422,19:20,19,53,26,66,29,36,50,78,72,51,71,24,37,9,10,11,52,77,38,59
891421,19:15,24,6,70,3,45,49,75,42,47,10,30,37,79,55,33,20,14,69,5,39
891420,19:10,67,78,34,19,1,17,26,46,42,29,13,72,9,25,3,24,63,64,55,33
891419,19:05,55,33,62,38,10,43,69,73,25,32,12,66,40,77,72,21,24,35,48,61
891418,19:00,65,36,73,70,49,47,51,15,64,6,31,46,37,23,34,58,56,68,1,29
891417,18:55,57,18,25,26,60,77,52,62,43,69,68,13,55,79,75,37,22,1,46,41
891416,18:50,74,54,57,68,77,32,69,63,6,53,23,75,64,44,46,43,4,29,27,16
891415,18:45,13,54,16,74,24,43,56,22,15,58,14,21,19,44,47,71,10,34,55,75
891414,18:40,71,74,41,9,66,3,57,5,13,35,43,30,25,44,39,52,75,80,40,14
891413,18:35,39,32,5,36,7,57,6,61,21,70,66,47,16,68,22,31,14,76,24,23
891412,18:30,68,27,62,57,37,65,14,8,48,78,18,63,4,43,41,80,30,64,9,72
891411,18:25,1,24,51,58,57,23,13,72,10,54,17,27,35,44,43,22,45,11,6,25
891410,18:20,37,9,13,75,8,29,33,11,32,34,57,70,66,1,26,15,38,44,25,52
891409,18:15,31,26,19,20,36,58,17,37,40,21,8,66,57,22,45,2,67,56,12,13
891408,18:10,64,52,41,53,18,71,22,42,11,45,3,54,32,36,73,8,17,65,48,15
891407,18:05,28,18,25,30,66,35,1,43,45,72,16,55,40,52,64,75,31,11,6,15
891406,18:00,37,65,15,2,48,51,43,10,59,41,64,69,53,35,75,62,38,19,63,21
891405,17:55,80,49,60,77,47,31,58,69,73,10,18,22,40,2,19,27,20,42,3,54
891404,17:50,49,10,53,73,46,34,69,65,24,8,40,15,22,78,70,18,32,38,80,14
891403,17:45,67,62,8,49,34,75,44,10,40,52,11,64,32,80,16,61,28,47,77,41
891402,17:40,10,25,15,65,70,17,44,54,43,46,22,73,61,49,72,11,77,28,47,21
891401,17:35,18,68,71,46,8,39,23,31,79,77,44,19,22,56,55,52,70,35,51,30
891400,17:30,2,19,4,48,7,34,5,64,35,46,13,21,10,80,60,78,14,37,45,50
891399,17:25,69,72,8,73,71,39,21,40,80,11,6,15,27,48,7,3,19,32,52,2
891398,17:20,50,62,48,64,57,75,42,36,10,34,18,65,60,74,6,45,76,9,53,3
891397,17:15,80,37,35,59,46,44,16,70,15,43,78,27,51,12,40,64,24,50,13,57
891396,17:10,10,56,72,23,4,63,18,31,25,26,33,50,52,16,53,3,17,2,48,77
891395,17:05,41,42,18,49,15,57,73,5,62,76,71,64,30,63,47,45,66,28,58,78
891394,17:00,59,72,13,35,4,29,57,71,60,65,18,50,73,41,7,67,5,76,26,70
891393,16:55,32,27,10,8,75,11,43,24,4,1,71,31,55,72,37,64,7,29,48,35
891392,16:50,48,34,30,33,5,51,49,73,9,50,32,8,11,1,77,66,62,19,52,29
891391,16:45,6,77,53,13,62,49,50,22,54,66,64,67,51,2,7,68,11,71,24,65
891390,16:40,49,17,56,16,24,29,53,35,76,37,58,47,75,18,36,39,73,63,48,27
891389,16:35,68,55,36,75,29,10,44,32,62,19,57,52,58,14,61,70,74,77,60,54
891388,16:30,51,14,16,41,69,70,7,73,12,25,23,26,72,57,33,80,62,71,15,74
891387,16:25,20,13,34,40,12,23,47,68,65,73,26,19,71,32,44,38,51,16,18,9
891386,16:20,42,9,22,14,33,63,72,32,40,5,11,37,20,64,74,78,50,4,10,2
891385,16:15,15,6,9,8,67,66,27,16,45,13,19,47,43,37,2,59,50,1,79,14
891384,16:10,11,37,69,17,20,29,32,73,54,39,4,2,62,63,28,44,79,42,27,41
891383,16:05,43,4,55,9,59,60,1,30,68,62,6,29,80,61,17,56,72,78,77,51
891382,16:00,16,78,48,11,56,27,59,9,68,10,66,39,77,49,53,32,57,54,6,79
891381,15:55,13,77,14,70,52,32,22,71,74,60,35,59,61,79,34,47,80,28,75,27
891380,15:50,14,34,66,76,63,9,59,31,79,7,74,64,54,17,72,55,2,61,15,3
891379,15:45,10,48,50,49,6,69,28,1,8,72,66,30,42,63,13,34,29,23,55,67
891378,15:40,79,60,38,29,44,8,22,42,1,76,6,59,21,3,74,2,49,24,40,62
891377,15:35,51,77,11,4,62,74,58,80,15,22,10,36,67,79,53,35,34,43,65,45
891376,15:30,42,5,79,38,69,73,56,24,71,16,3,70,64,32,65,36,35,78,59,60
891375,15:25,41,20,45,31,63,17,51,59,39,72,22,6,42,29,27,12,56,75,61,71
891374,15:20,22,38,57,33,1,64,65,8,68,26,40,4,2,21,49,53,74,44,78,51
891373,15:15,19,21,22,76,66,26,46,43,30,48,54,78,16,49,50,71,36,1,23,9
891372,15:10,69,57,25,66,4,49,53,2,42,47,70,24,10,7,45,15,76,77,50,75
891371,15:05,25,3,65,77,41,37,1,49,33,56,67,70,19,60,72,10,9,35,64,5
891370,15:00,60,50,66,14,30,61,29,33,12,44,13,54,7,64,63,68,2,78,69,53
891369,14:55,19,16,40,20,59,13,80,68,43,11,14,21,32,66,6,57,35,77,62,1
891368,14:50,26,55,39,14,46,1,34,78,28,76,58,57,32,13,74,12,49,38,69,54
891367,14:45,55,18,20,50,8,14,54,31,24,16,15,30,4,40,65,78,64,25,3,44
891366,14:40,11,41,44,74,10,78,23,55,77,2,7,72,38,60,57,33,15,6,20,40
891365,14:35,40,33,75,10,28,61,5,76,35,17,27,7,52,49,78,48,9,12,21,4
891364,14:30,22,42,44,9,55,5,13,48,34,10,61,12,27,54,20,16,52,32,28,29
891363,14:25,69,74,47,6,5,3,23,31,62,80,25,39,68,28,79,49,58,22,56,43
891362,14:20,61,23,42,50,49,66,3,34,48,69,28,39,19,5,65,4,33,56,8,64
891361,14:15,34,49,71,55,59,73,58,66,74,44,70,15,12,26,7,23,20,27,63,79
891360,14:10,68,63,27,66,77,6,15,21,72,65,78,12,14,17,53,13,2,76,32,46
891359,14:05,38,23,42,56,31,57,24,47,9,34,21,37,67,39,76,73,12,30,45,28
891358,14:00,60,52,53,40,72,48,14,28,11,30,79,43,77,37,51,3,55,39,33,21
891357,13:55,17,67,70,28,34,77,16,21,55,60,10,27,72,63,25,11,2,33,24,51
891356,13:50,36,34,77,41,70,52,4,42,63,55,80,47,3,65,19,67,62,13,14,54
891355,13:45,2,65,53,27,79,25,66,40,19,39,73,15,70,1,28,80,63,58,21,67
891354,13:40,26,58,40,71,78,17,73,51,6,80,55,9,14,54,41,72,28,24,15,45
891353,13:35,62,78,13,29,41,1,26,61,30,11,16,76,50,45,67,54,21,79,23,46
891352,13:30,36,20,67,76,11,30,31,16,29,32,72,34,68,23,74,25,2,63,5,3
891351,13:25,30,39,66,32,23,9,14,11,51,58,44,43,19,28,13,60,40,35,55,29
